date_of_travel,departure_city,departure_country,departure_airport_code,departure_airport_name,destination_city,destination_country,destination_airport_code,destination_airport_name,origin_lat,origin_lon,dest_lat,dest_lon,distance_travelled_km,airline_name,flight_number,aircraft_manufacturer,aircraft_name,aircraft_reg_no,seat_number,window_middle_aisle,class
19/06/2010,Delhi,India,DEL,Indira Gandhi International Airport,Singapore,Singapore,SIN,Changi Airport,28.55475,77.099527,1.356668,103.987091,4158,Jet Airways,9W18,Boeing,B737-800,,24A,Window,Economy
24/06/2010,Singapore,Singapore,SIN,Changi Airport,Delhi,India,DEL,Indira Gandhi International Airport,1.356668,103.987091,28.55475,77.099527,4158,Jet Airways,9W17,Boeing,B737-800,,24A,Window,Economy
14/05/2011,Delhi,India,DEL,Indira Gandhi International Airport,New Jersey,United States of America,EWR,Newark Liberty International Airport,28.55475,77.099527,40.689964,-74.173468,11765,United,UA83,Boeing,B777-300 ER,,38D,Window,Economy
17/06/2011,New Jersey,United States of America,EWR,Newark Liberty International Airport,Delhi,India,DEL,Indira Gandhi International Airport,40.689964,-74.173468,28.55475,77.099527,11765,United,UA82,Boeing,B777-200 ER,,34L,Window,Economy
21/01/2013,Delhi,India,DEL,Indira Gandhi International Airport,Chennai,India,MAA,Madras International Meenambakkam Airport,28.55475,77.099527,12.984733,80.162954,1760,Air India,AI42,Airbus,,,,Window,Economy
23/01/2013,Chennai,India,MAA,Madras International Meenambakkam Airport,Delhi,India,DEL,Indira Gandhi International Airport,12.984733,80.162954,28.55475,77.099527,1760,Air India,AI539,Airbus,,,,Window,Economy
21/08/2022,Delhi,India,DEL,Indira Gandhi International Airport,Bengaluru,India,BLR,Kempegowda International Airport,28.55475,77.099527,13.199229,77.704336,1709,Indigo,6E5186,Airbus,,,,Window,Economy
07/09/2022,Bengaluru,India,BLR,Kempegowda International Airport,Delhi,India,DEL,Indira Gandhi International Airport,13.199229,77.704336,28.55475,77.099527,1709,Go Air,G8116,Airbus,,,22A,Window,Economy
11/09/2022,Delhi,India,DEL,Indira Gandhi International Airport,Bengaluru,India,BLR,Kempegowda International Airport,28.55475,77.099527,13.199229,77.704336,1709,Indigo,6E5009,Airbus,,,17A,Window,Economy
18/10/2022,Bengaluru,India,BLR,Kempegowda International Airport,Delhi,India,DEL,Indira Gandhi International Airport,13.199229,77.704336,28.55475,77.099527,1709,Vistara,UK818,Airbus,,,27A,Window,Economy
30/10/2022,Delhi,India,DEL,Indira Gandhi International Airport,Bengaluru,India,BLR,Kempegowda International Airport,28.55475,77.099527,13.199229,77.704336,1709,Akasa Air,QP1335,Boeing,B737-MAX 8,,26E,Middle,Economy
24/02/2023,Bengaluru,India,BLR,Kempegowda International Airport,Delhi,India,DEL,Indira Gandhi International Airport,13.199229,77.704336,28.55475,77.099527,1709,Air India,AI509,Airbus,,,25A,Window,Economy
25/03/2023,Delhi,India,DEL,Indira Gandhi International Airport,Visakhapatnam,India,VTZ,Visakhapatnam International Airport,28.55475,77.099527,17.722953,83.229037,1357,Air India,AI855,Airbus,,,29A,Window,Economy
02/04/2023,Visakhapatnam,India,VTZ,Visakhapatnam International Airport,Delhi,India,DEL,Indira Gandhi International Airport,17.722953,83.229037,28.55475,77.099527,1357,Air India,AI452,Airbus,,,25A,Window,Economy
20/12/2023,Delhi,India,DEL,Indira Gandhi International Airport,Pune,India,PNQ,Pune International Airport,28.55475,77.099527,18.581553,73.918114,1155,Indigo,6E2283,Airbus,,,,Window,Economy
25/12/2023,Pune,India,PNQ,Pune International Airport,Delhi,India,DEL,Indira Gandhi International Airport,18.581553,73.918114,28.55475,77.099527,1155,Air India,AI858,Airbus,,,,Window,Economy
15/11/2024,Delhi,India,DEL,Indira Gandhi International Airport,Visakhapatnam,India,VTZ,Visakhapatnam International Airport,28.55475,77.099527,17.722953,83.229037,1357,Air India,AI451,Airbus,,,25A,Window,Economy
18/11/2024,Visakhapatnam,India,VTZ,Visakhapatnam International Airport,Delhi,India,DEL,Indira Gandhi International Airport,17.722953,83.229037,28.55475,77.099527,1357,Indigo,6E5344,Airbus,,,24F,Window,Economy
27/12/2024,Delhi,India,DEL,Indira Gandhi International Airport,Mumbai,India,BOM,Chhatrapati Shivaji Maharaj International Airport,28.55475,77.099527,19.090396,72.864137,1137,Air India,AI2425,Airbus,,,27F,Window,Economy
01/01/2025,Mumbai,India,BOM,Chhatrapati Shivaji Maharaj International Airport,Delhi,India,DEL,Indira Gandhi International Airport,19.090396,72.864137,28.55475,77.099527,1137,Air India,AI2419,Airbus,,,24B,Middle,Economy
